Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global
2024,Abu Dhabi Grand Prix,10,HARD,2,42.0,29.4,2.0,3,3,0.8638588588588476,56.0,2.0,90.577
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,5.0,31.8,54.0,3,3,0.8509131736526996,4.0,1.0,89.7434131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,6.0,31.7,53.0,3,3,1.4899880952380897,5.0,1.0,90.38248809523809
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,7.0,31.8,52.0,3,3,1.2536554252199323,6.0,1.0,90.14615542521993
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,8.0,31.8,51.0,3,3,1.2324850746268652,7.0,1.0,90.12498507462686
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,9.0,31.9,50.0,3,3,1.491538461538454,8.0,1.0,90.38403846153845
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,10.0,31.6,49.0,3,3,1.5728473053892174,9.0,1.0,90.46534730538922
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,11.0,31.7,48.0,3,3,3.0349999999999824,10.0,1.0,91.92749999999998
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,12.0,31.2,47.0,3,3,2.4395000000000095,11.0,1.0,91.33200000000001
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,13.0,31.6,46.0,3,3,3.1835000000000093,12.0,1.0,92.07600000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,3.0,31.3,43.0,3,3,1.1740000000000066,15.0,2.0,90.0665
2024,Abu Dhabi Grand Prix,14,HARD,2,4.0,31.3,42.0,3,3,1.3419999999999987,16.0,2.0,90.2345
2024,Abu Dhabi Grand Prix,14,HARD,2,5.0,31.2,41.0,3,3,1.3455000000000013,17.0,2.0,90.238
2024,Abu Dhabi Grand Prix,14,HARD,2,6.0,31.3,40.0,3,3,1.0339999999999918,18.0,2.0,89.92649999999999
2024,Abu Dhabi Grand Prix,14,HARD,2,7.0,31.3,39.0,3,3,1.1940000000000026,19.0,2.0,90.0865
2024,Abu Dhabi Grand Prix,14,HARD,2,8.0,31.3,38.0,3,3,1.5900000000000034,20.0,2.0,90.4825
2024,Abu Dhabi Grand Prix,14,HARD,2,9.0,31.2,37.0,3,3,1.6544999999999987,21.0,2.0,90.547
2024,Abu Dhabi Grand Prix,14,HARD,2,10.0,31.0,36.0,3,3,1.8863154761904752,22.0,2.0,90.77881547619047
2024,Abu Dhabi Grand Prix,14,HARD,2,11.0,31.0,35.0,3,3,1.4215000000000089,23.0,2.0,90.31400000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,12.0,31.1,34.0,3,3,1.225999999999999,24.0,2.0,90.1185
2024,Abu Dhabi Grand Prix,14,HARD,2,13.0,30.9,33.0,3,3,1.3960000000000008,25.0,2.0,90.2885
2024,Abu Dhabi Grand Prix,14,HARD,2,14.0,30.9,32.0,3,3,1.3659999999999854,26.0,2.0,90.25849999999998
2024,Abu Dhabi Grand Prix,14,HARD,2,15.0,30.8,31.0,3,3,1.3474999999999966,27.0,2.0,90.24
2024,Abu Dhabi Grand Prix,14,HARD,2,16.0,30.7,30.0,3,3,1.3199999999999932,28.0,2.0,90.21249999999999
2024,Abu Dhabi Grand Prix,14,HARD,2,17.0,30.8,29.0,3,3,1.491500000000002,29.0,2.0,90.384
2024,Abu Dhabi Grand Prix,14,HARD,2,19.0,30.6,27.0,3,3,1.5744999999999862,31.0,2.0,90.46699999999998
2024,Abu Dhabi Grand Prix,14,HARD,2,20.0,30.5,26.0,3,3,1.7050000000000125,32.0,2.0,90.59750000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,21.0,30.5,25.0,3,3,1.5750000000000028,33.0,2.0,90.4675
2024,Abu Dhabi Grand Prix,14,HARD,2,22.0,30.4,24.0,3,3,1.404500000000013,34.0,2.0,90.29700000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,23.0,30.3,23.0,3,3,2.16418075801748,35.0,2.0,91.05668075801748
2024,Abu Dhabi Grand Prix,14,HARD,2,24.0,30.3,22.0,3,3,2.209000000000003,36.0,2.0,91.1015
2024,Abu Dhabi Grand Prix,14,HARD,2,3.0,30.2,19.0,3,3,0.5775000000000006,39.0,3.0,89.47
2024,Abu Dhabi Grand Prix,14,HARD,2,4.0,30.2,18.0,3,3,0.7965000000000089,40.0,3.0,89.68900000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,5.0,30.2,17.0,3,3,0.2785000000000082,41.0,3.0,89.171
2024,Abu Dhabi Grand Prix,14,HARD,2,6.0,30.0,16.0,3,3,0.27550000000000807,42.0,3.0,89.168
2024,Abu Dhabi Grand Prix,14,HARD,2,7.0,30.1,15.0,3,3,0.6409999999999911,43.0,3.0,89.53349999999999
2024,Abu Dhabi Grand Prix,14,HARD,2,8.0,30.1,14.0,3,3,1.156111111111116,44.0,3.0,90.04861111111111
2024,Abu Dhabi Grand Prix,14,HARD,2,9.0,30.0,13.0,3,3,0.34959090909092083,45.0,3.0,89.24209090909092
2024,Abu Dhabi Grand Prix,14,HARD,2,10.0,29.8,12.0,3,3,0.5504999999999995,46.0,3.0,89.443
2024,Abu Dhabi Grand Prix,14,HARD,2,11.0,29.7,11.0,3,3,0.21699999999998454,47.0,3.0,89.10949999999998
2024,Abu Dhabi Grand Prix,14,HARD,2,12.0,29.7,10.0,3,3,0.0,48.0,3.0,88.8925
2024,Abu Dhabi Grand Prix,14,HARD,2,13.0,29.5,9.0,3,3,0.394999999999996,49.0,3.0,89.2875
2024,Abu Dhabi Grand Prix,14,HARD,2,14.0,29.6,8.0,3,3,0.7475000000000023,50.0,3.0,89.64
2024,Abu Dhabi Grand Prix,14,HARD,2,15.0,29.4,7.0,3,3,0.16148489425980017,51.0,3.0,89.0539848942598
2024,Abu Dhabi Grand Prix,14,HARD,2,16.0,29.4,6.0,3,3,0.35250000000000625,52.0,3.0,89.245
2024,Abu Dhabi Grand Prix,14,HARD,2,17.0,29.4,5.0,3,3,0.3235000000000099,53.0,3.0,89.21600000000001
2024,Abu Dhabi Grand Prix,14,HARD,2,18.0,29.3,4.0,3,3,0.32500000000000284,54.0,3.0,89.2175
2024,Abu Dhabi Grand Prix,14,HARD,2,19.0,29.3,3.0,3,3,0.409000000000006,55.0,3.0,89.3015
2024,Abu Dhabi Grand Prix,14,HARD,2,20.0,29.4,2.0,3,3,0.4194999999999993,56.0,3.0,89.312
2024,Abu Dhabi Grand Prix,14,HARD,2,22.0,29.3,0.0,3,3,0.7999999999999972,58.0,3.0,89.6925
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,4.0,31.9,54.0,3,3,0.6149999999999807,4.0,1.0,89.38749999999999
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,5.0,31.7,53.0,3,3,1.2856586826347183,5.0,1.0,90.05815868263473
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,6.0,31.8,52.0,3,3,1.5309705882352773,6.0,1.0,90.30347058823529
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,7.0,31.8,51.0,3,3,0.9324999999999903,7.0,1.0,89.705
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,8.0,31.9,50.0,3,3,1.1939999999999884,8.0,1.0,89.9665
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,9.0,31.6,49.0,3,3,1.5151586826347199,9.0,1.0,90.28765868263473
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,10.0,31.7,48.0,3,3,1.4549999999999699,10.0,1.0,90.22749999999998
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,11.0,31.2,47.0,3,3,1.7395000000000067,11.0,1.0,90.51200000000001
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,12.0,31.5,46.0,3,3,1.1637272727272716,12.0,1.0,89.93622727272728
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,13.0,31.6,45.0,3,3,1.3335000000000008,13.0,1.0,90.10600000000001
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,14.0,31.5,44.0,3,3,1.0339999999999918,14.0,1.0,89.8065
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,15.0,31.3,43.0,3,3,1.2129999999999939,15.0,1.0,89.9855
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,16.0,31.3,42.0,3,3,1.3749999999999858,16.0,1.0,90.1475
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,17.0,31.2,41.0,3,3,1.1434999999999889,17.0,1.0,89.916
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,18.0,31.2,40.0,3,3,1.4314999999999856,18.0,1.0,90.204
2024,Abu Dhabi Grand Prix,16,MEDIUM,1,19.0,31.3,39.0,3,3,1.7838715596330132,19.0,1.0,90.55637155963302
2024,Abu Dhabi Grand Prix,16,HARD,2,2.0,31.0,36.0,3,3,1.4634999999999962,22.0,2.0,90.236
2024,Abu Dhabi Grand Prix,16,HARD,2,4.0,31.1,34.0,3,3,0.8789999999999907,24.0,2.0,89.6515
2024,Abu Dhabi Grand Prix,16,HARD,2,5.0,30.9,33.0,3,3,0.6259999999999906,25.0,2.0,89.3985
2024,Abu Dhabi Grand Prix,16,HARD,2,6.0,30.9,32.0,3,3,0.8149999999999835,26.0,2.0,89.58749999999999
2024,Abu Dhabi Grand Prix,16,HARD,2,7.0,30.8,31.0,3,3,0.6224999999999881,27.0,2.0,89.395
