CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,RaceNumber,TeamEncoded,delta_velocity,lateral_stress_cumul,abrasive_stress_cumul,stress_x_temp,compound_x_abrasivity,compound_x_lateral,compound_x_tyrelife,prev_stint_max_delta,stint_length,tyre_life_pct
3,13.0,45.9,10.0,2.4,3.1,1.414999999999992,61.0,3.0,33,0,0.6270000000000095,40.300000000000004,31.2,1849.77,7.199999999999999,9.3,39.0,1.9850000000000136,15.0,0.8666666666666667
3,14.0,45.5,9.0,2.4,3.1,0.9629999999999939,62.0,3.0,33,0,-0.4519999999999982,43.4,33.6,1974.7000000000003,7.199999999999999,9.3,42.0,1.9850000000000136,15.0,0.9333333333333333
3,15.0,45.6,8.0,2.4,3.1,1.8699999999999903,63.0,3.0,33,0,0.9069999999999965,46.5,36.0,2120.4,7.199999999999999,9.3,45.0,1.9850000000000136,15.0,1.0
4,7.0,45.7,3.0,2.4,3.1,0.0,68.0,4.0,33,0,0.0,21.7,16.8,991.69,9.6,12.4,28.0,1.8699999999999903,10.0,0.7
4,8.0,45.1,2.0,2.4,3.1,0.6250000000000142,69.0,4.0,33,0,0.6250000000000142,24.8,19.2,1118.48,9.6,12.4,32.0,1.8699999999999903,10.0,0.8
4,9.0,44.3,1.0,2.4,3.1,0.3990000000000151,70.0,4.0,33,0,-0.2259999999999991,27.900000000000002,21.599999999999998,1235.9699999999998,9.6,12.4,36.0,1.8699999999999903,10.0,0.9
4,10.0,43.8,0.0,2.4,3.1,0.8680000000000092,71.0,4.0,33,0,0.4689999999999941,31.0,24.0,1357.8,9.6,12.4,40.0,1.8699999999999903,10.0,1.0
3,2.0,45.6,49.0,2.4,2.1,0.0,2.0,1.0,39,0,-2.129000000000005,4.2,4.8,191.52,7.199999999999999,6.300000000000001,6.0,,11.0,0.18181818181818182
3,3.0,45.7,48.0,2.4,2.1,0.0,3.0,1.0,39,0,0.0,6.300000000000001,7.199999999999999,287.91,7.199999999999999,6.300000000000001,9.0,,11.0,0.2727272727272727
3,4.0,45.7,47.0,2.4,2.1,0.47800000000000864,4.0,1.0,39,0,0.47800000000000864,8.4,9.6,383.88000000000005,7.199999999999999,6.300000000000001,12.0,,11.0,0.36363636363636365
3,5.0,44.9,46.0,2.4,2.1,0.1150000000000091,5.0,1.0,39,0,-0.36299999999999955,10.5,12.0,471.45000000000005,7.199999999999999,6.300000000000001,15.0,,11.0,0.45454545454545453
3,6.0,44.5,45.0,2.4,2.1,0.0,6.0,1.0,39,0,-0.1150000000000091,12.600000000000001,14.399999999999999,560.7,7.199999999999999,6.300000000000001,18.0,,11.0,0.5454545454545454
3,7.0,44.9,44.0,2.4,2.1,0.001999999999995339,7.0,1.0,39,0,0.001999999999995339,14.700000000000001,16.8,660.0300000000001,7.199999999999999,6.300000000000001,21.0,,11.0,0.6363636363636364
3,8.0,44.7,43.0,2.4,2.1,0.0,8.0,1.0,39,0,-0.001999999999995339,16.8,19.2,750.96,7.199999999999999,6.300000000000001,24.0,,11.0,0.7272727272727273
3,9.0,44.7,42.0,2.4,2.1,0.0,9.0,1.0,39,0,0.0,18.900000000000002,21.599999999999998,844.83,7.199999999999999,6.300000000000001,27.0,,11.0,0.8181818181818182
3,10.0,44.7,41.0,2.4,2.1,1.0,10.0,1.0,39,0,1.0,21.0,24.0,938.7,7.199999999999999,6.300000000000001,30.0,,11.0,0.9090909090909091
3,11.0,44.7,40.0,2.4,2.1,1.1970000000000027,11.0,1.0,39,0,0.19700000000000273,23.1,26.4,1032.5700000000002,7.199999999999999,6.300000000000001,33.0,,11.0,1.0
2,2.0,44.7,37.0,2.4,2.1,0.0,14.0,2.0,39,0,-1.8160000000000167,4.2,4.8,187.74,4.8,4.2,4.0,1.1970000000000027,36.0,0.05555555555555555
2,3.0,44.1,36.0,2.4,2.1,0.0,15.0,2.0,39,0,0.0,6.300000000000001,7.199999999999999,277.83000000000004,4.8,4.2,6.0,1.1970000000000027,36.0,0.08333333333333333
2,4.0,44.1,35.0,2.4,2.1,0.3200000000000074,16.0,2.0,39,0,0.3200000000000074,8.4,9.6,370.44000000000005,4.8,4.2,8.0,1.1970000000000027,36.0,0.1111111111111111
2,5.0,44.0,34.0,2.4,2.1,0.0,17.0,2.0,39,0,-0.3200000000000074,10.5,12.0,462.0,4.8,4.2,10.0,1.1970000000000027,36.0,0.1388888888888889
2,6.0,43.8,33.0,2.4,2.1,0.742999999999995,18.0,2.0,39,0,0.742999999999995,12.600000000000001,14.399999999999999,551.88,4.8,4.2,12.0,1.1970000000000027,36.0,0.16666666666666666
2,7.0,44.0,32.0,2.4,2.1,0.17199999999999704,19.0,2.0,39,0,-0.570999999999998,14.700000000000001,16.8,646.8000000000001,4.8,4.2,14.0,1.1970000000000027,36.0,0.19444444444444445
2,8.0,43.9,31.0,2.4,2.1,0.3084963503649618,20.0,2.0,39,0,0.13649635036496477,16.8,19.2,737.52,4.8,4.2,16.0,1.1970000000000027,36.0,0.2222222222222222
2,9.0,44.4,30.0,2.4,2.1,0.33008393285371085,21.0,2.0,39,0,0.021587582488749035,18.900000000000002,21.599999999999998,839.16,4.8,4.2,18.0,1.1970000000000027,36.0,0.25
2,10.0,44.4,29.0,2.4,2.1,1.121194174757278,22.0,2.0,39,0,0.7911102419035672,21.0,24.0,932.4,4.8,4.2,20.0,1.1970000000000027,36.0,0.2777777777777778
2,13.0,43.6,26.0,2.4,2.1,0.7966797066014522,25.0,2.0,39,0,-0.32451446815582585,27.3,31.2,1190.28,4.8,4.2,26.0,1.1970000000000027,36.0,0.3611111111111111
